accession,prop_value
NCT00303589:I.3013,"Sustained (qualifier value)"
NCT00303589:I.3014,"Systolic Blood Pressure"
NCT00303589:I.3015,"Resuscitation procedure"
NCT00303589:I.3016,"Body Fluid or Substance"
NCT00303589:I.3017,"Bacterial infectious disease"
NCT00303589:I.3018,Concomitant
NCT00303589:I.3019,"Antibiotic Therapy (procedure)"
NCT00303589:I.3020,"non-healing ulcer of skin"
NCT00303589:I.3021,chronic
NCT00303589:I.3022,"operative procedures"
NCT00303589:I.3023,"First-Line Therapy"
NCT00306215:I.1001,"Age 18 Years and older"
NCT00306215:I.1002,"moderate to severe Crohn's Disease"
NCT00306215:I.1003,"CDAI 250-450"
NCT00306215:I.1004,CRP>7.5
NCT00306215:I.1005,"signed written informed consent"
NCT00306215:I.2001,">100 cm of small bowel resected"
NCT00306215:I.2002,"ileostomy, colostomy or rectal pouch"
NCT00306215:I.2003,"diagnosis of ulcerative colitis or indeterminate colitis"
NCT00306215:I.2004,"evidence of short bowel syndrome requiring enteral or parenteral supplementation or total parenteral nutrition"
NCT00306215:I.2005,"hepatitis B, C or HIV infection"
NCT00306215:I.2006,"history of infection requiring IV antibiotics"
NCT00306215:I.2007,"serious or GI infection in the previous 12 weeks"
NCT00306215:I.3001,Age
NCT00306215:I.3002,Diagnosis
NCT00306215:I.3003,"Crohn's Disease"
NCT00306215:I.3004,"Crohn's disease activity index"
NCT00306215:I.3005,"C-Reactive Protein Measurement"
NCT00306215:I.3006,"Informed Consent"
NCT00306215:I.3007,"Small intestine excision"
NCT00306215:I.3008,"Creation of ileostomy"
NCT00306215:I.3009,"Colostomy Procedure"
NCT00306215:I.3010,"Rectal pouch"
NCT00306215:I.3011,"Ulcerative calcitis"
NCT00306215:I.3012,"Colitis of Indeterminate Type"
NCT00306215:I.3013,"Evidence of"
NCT00306215:I.3014,"Short Bowel Syndrome"
NCT00306215:I.3015,"Enteral (qualifier value)"
NCT00306215:I.3016,"Nutritional Supplementation"
NCT00306215:I.3017,"Parenteral Therapeutic Nutritional Supplementation"
NCT00306215:I.3018,"Parenteral Nutrition, Total"
NCT00306215:I.3019,"Type B viral hepatitis"
NCT00306215:I.3020,"Viral hepatitis C"
NCT00306215:I.3021,"Human immunodeficiency virus infection"
NCT00306215:I.3022,Infection
NCT00306215:I.3023,"Antibiotic Drugs"
NCT00306215:I.3024,Intravenous
NCT00306215:I.3025,"Serious (qualifier value)"
NCT00306215:I.3026,"Gastrointestinal Infection"
NCT00309621:I.1001,"Age 18 Years to 75 Years"
NCT00309621:I.1002,"Chronic hand dermatitis, rated as severe by physicians global assessment, present for at least 6 months, that has not responded to the avoidance of allergens and irritants and the use of topical steroids"
NCT00309621:I.2001,"female of childbearing potential, unless participating in a pregnancy prevention program"
NCT00309621:I.2002,psoriasis
NCT00309621:I.2003,"active major psychiatric condition"
NCT00309621:I.3001,Age
NCT00309621:I.3002,Diagnosis
NCT00309621:I.3003,"Chronic hand dermatitis"
NCT00309621:I.3005,"Physician (occupation)"
NCT00309621:I.3006,Assessment
NCT00309621:I.3007,"Allergen (substance)"
NCT00309621:I.3008,"Irritant (substance)"
NCT00309621:I.3009,Steroids
NCT00309621:I.3010,"Topical Route of Drug Administration"
NCT00309621:I.3011,"female, female gender"
NCT00309621:I.3012,fertil
NCT00309621:I.3013,"Pregnancy, Gestation"
NCT00309621:I.3014,"prevention program"
NCT00309621:I.3015,Psoriasis
NCT00309621:I.3016,"Psychiatric disorder"
NCT00309621:I.3017,"Active (qualifier value)"
NCT00309621:I.3018,"Major (qualifier value)"
NCT00312845:I.1001,"Man or woman and age 18 years or older"
NCT00312845:I.1002,"Diagnosis of follicular B-NHL of the following subtypes (World Health Organization [WHO] classification 1997): follicular lymphoma (FL) (Grades 1 and 2)."
NCT00312845:I.1003,"Documented relapse or progression following prior antineoplastic treatment. New lesions or objective evidence of progression of existing lesions must document relapse or progression following the previous therapy."
NCT00312845:I.1004,"If any prior regimen included rituximab, the subject must have responded (complete response [CR], unconfirmed complete response [CRu], partial response [PR]), and the time to progression (TTP) from the first dose of rituximab must have been 6 months or more."
NCT00312845:I.1005,"At least 1 measurable tumor mass (greater than 1.5 cm in the longest dimension and greater than 1.0 cm in the short axis) that has not been previously irradiated, or has grown since previous irradiation"
NCT00312845:I.1006,"In the opinion of the investigator the decision to initiate treatment is justified to manage the subject's lymphoma"
NCT00312845:I.1007,"No active central nervous system lymphoma"
NCT00312845:I.1008,"Eastern Cooperative Oncology Group [ECOG] status ? 2"
NCT00312845:I.1009,"Female subjects must be postmenopausal (for at least 6 months), surgically sterile, abstinent, or, if sexually active, be practicing an effective method of birth control (e.g., prescription oral contraceptives, contraceptive injections, intrauterine device, double-barrier method, contraceptive patch, male partner sterilization) before entry and throughout the study; and have a negative serum beta-human chorionic gonadotropin (?-hCG) pregnancy test at screening."
NCT00312845:I.1010,"Subjects (or their legally acceptable representatives) must have signed an informed consent document indicating that they understand the purpose of and procedures required for the study and are willing to participate in the study."
NCT00312845:I.1011,"In countries where health authorities have approved the pharmacogenomic testing, subjects or their legally acceptable representatives must have signed a separate informed consent that they agree to participate in the genetic part and protein testing part of the study; participation in the genetic and protein testing component is mandatory for pharmacogenomics testing, but optional for serum protein testing and future testing."
NCT00312845:I.2001,"Diagnosed or treated for a malignancy other than NHL within 1 year of randomization, or who were previously diagnosed with a malignancy other than NHL and have any radiographic or biochemical marker evidence of malignancy. Subjects with completely resected basal cell carcinoma, squamous cell carcinoma of the skin, or in situ malignancy are not excluded."
NCT00312845:I.2002,"Clinical evidence of a transformation from indolent NHL to a more aggressive form of NHL."
NCT00312845:I.2003,"Prior treatment with VELCADE; Antineoplastic (including unconjugated therapeutic antibodies), experimental, or radiation therapy within 3 weeks before randomization;      Nitrosoureas within 6 weeks before randomization; Radioimmunoconjugates or toxin immunoconjugates within 10 weeks before randomization;                      Stem cell transplant within 6 months before randomization;                    Major surgery within 2 weeks before randomization."
NCT00312845:I.2004,"Residual toxic effects of previous therapy or surgery of Grade 3 or worse"
NCT00312845:I.2005,"Peripheral neuropathy or neuropathic pain of Grade 2 or worse"
NCT00312845:I.2006,"Have received an experimental drug or used an experimental medical device within 21 days before the planned start of treatment."
NCT00312845:I.2007,"History of allergic reaction attributable to compounds containing boron or mannitol"
NCT00312845:I.2008,"Known anaphylaxis or immunoglobulin E (IgE)-mediated hypersensitivity to murine proteins or to any component of rituximab including polysorbate 80 and sodium citrate dihydrate"
NCT00312845:I.2009,"Concurrent treatment with another investigational agent"
NCT00312845:I.2010,"Female subject who is pregnant or breast-feeding"
NCT00312845:I.3001,Age
NCT00312845:I.3002,Diagnosis
NCT00312845:I.3003,"Male population group"
NCT00312845:I.3004,"Human, Female"
NCT00312845:I.3005,"Lymphoma, Non-Hodgkin (Non-Hodgkins lymphoma)"
NCT00312845:I.3006,"Follicular low grade B-cell lymphoma, Follicular non-Hodgkin lymphoma"
NCT00312845:I.3007,"Follicular lymphoma grade I, unspecified site"
NCT00312845:I.3008,"Follicular lymphoma grade II, unspecified site"
NCT00312845:I.3009,"World Health Organization (WHO) classification of impairments, disabilities and handicap scale"
NCT00312845:I.3010,"Recurrent Disease"
NCT00312845:I.3011,"Documented (qualifier value)"
NCT00312845:I.3012,"Disease Progression, Course of illness"
NCT00312845:I.3013,"Antineoplastic Drug/Agent Therapy"
NCT00312845:I.3014,Treatment
NCT00312845:I.3015,"Previous (qualifier value)"
NCT00312845:I.3016,"Abnormal tissue appearance"
NCT00312845:I.3017,"Evidence of"
NCT00312845:I.3018,"Treatment Regimen"
NCT00312845:I.3019,Rituximab
NCT00312845:I.3020,"Complete Response (CR)"
NCT00312845:I.3021,"partial response (partial remission)"
NCT00312845:I.3022,"Time to Progression"
NCT00312845:I.3023,"Mass of body structure,                       Mass (morphologic abnormality), Tumor Mass"
NCT00312845:I.3024,"Therapeutic radiology procedure"
NCT00312845:I.3025,"Malignant lymphoma"
NCT00312845:I.3026,"Central Nervous System Lymphoma"
NCT00312845:I.3027,"Active (qualifier value)"
NCT00312845:I.3028,"ECOG performance status finding"
NCT00312845:I.3029,"female, female gender"
NCT00312845:I.3030,"Postmenopausal period"
NCT00312845:I.3031,"Operative Surgical Procedures"
NCT00312845:I.3032,"Sterile (qualifier value)"
NCT00312845:I.3033,"Non - drinker"
NCT00312845:I.3034,"Contraception, Birth control"
NCT00312845:I.3035,"Oral contraceptive preparation"
NCT00312845:I.3036,"Prescription (procedure)"
NCT00312845:I.3037,"Contraceptive agent (substance)"
NCT00312845:I.3038,"Injection procedure"
NCT00312845:I.3039,"Intrauterine contraceptive device"
NCT00312845:I.3040,"Barrier contraception method"
NCT00312845:I.3041,"Double (qualifier value)"
NCT00312845:I.3042,"Contraceptive Patch"
NCT00312845:I.3043,"Male sterilization (procedure)"
NCT00312845:I.3044,Entry
NCT00312845:I.3045,"Clinical Trials"
NCT00312845:I.3046,"Serum pregnancy test (B-HCG)"
NCT00312845:I.3047,"Negative Pregnancy Test"
NCT00312845:I.3048,Screening
NCT00312845:I.3049,"Informed Consent"
NCT00312845:I.3050,"Pharmacogenomic Test"
NCT00312845:I.3051,"Procurement of patient informed consent, investigational study"
NCT00312845:I.3052,"Subject Participation Status in Clinical Study"
NCT00312845:I.3053,"Genetic screening method"
NCT00312845:I.3054,"Serum/plasma protein test"
NCT00312845:I.3055,Testing
NCT00312845:I.3056,Future
NCT00312845:I.3057,"Mandatory Testing"
NCT00312845:I.3058,Optional
NCT00312845:I.3059,"Malignant Neoplasms"
NCT00312845:I.3060,"Random Allocation"
NCT00312845:I.3061,"Biochemical Markers"
NCT00312845:I.3062,Biomarker
NCT00312845:I.3063,"Radiographic (qualifier value)"
NCT00312845:I.3064,"Basal cell carcinoma"
NCT00312845:I.3065,"Squamous cell carcinoma"
NCT00312845:I.3066,"In situ cancer"
NCT00312845:I.3067,"Clinical (qualifier value)"
NCT00312845:I.3068,"Cell Transformation"
NCT00312845:I.3069,"Indolent Non-Hodgkin Lymphoma"
NCT00312845:I.3070,"Aggressive Non-Hodgkin Lymphoma"
NCT00312845:I.3071,Velcade
NCT00312845:I.3072,"Immunotherapy, antineoplastic"
NCT00312845:I.3073,"Antibody (substance)"
NCT00312845:I.3074,"Unconjugated (qualifier value)"
NCT00312845:I.3075,"Antibody Therapy"
NCT00312845:I.3076,"Therapies, Investigational"
NCT00312845:I.3077,"radiation therapy"
NCT00312845:I.3078,"Nitrosourea Compound"
NCT00312845:I.3079,Radioimmunoconjugate
NCT00312845:I.3080,Immunoconjugates
NCT00312845:I.3081,"Toxin (substance)"
NCT00312845:I.3082,"stem cell transplantation"
NCT00312845:I.3083,"operative procedures"
NCT00312845:I.3084,"Major (qualifier value)"
NCT00312845:I.3085,"Residual (qualifier value)"
NCT00312845:I.3086,Toxic
NCT00312845:I.3087,"poisonous effects"
NCT00312845:I.3088,"Previous (qualifier value)"
NCT00312845:I.3089,"Grade 3"
NCT00312845:I.3090,"Disorders of the peripheral nervous system"
NCT00312845:I.3091,"Neuropathic Pain"
NCT00312845:I.3092,"Grade 2"
NCT00312845:I.3093,"Investigational New Drug"
NCT00312845:I.3094,"Investigational Medical Device"
NCT00312845:I.3095,"Allergic disorder"
NCT00312845:I.3096,"Boron (substance)"
NCT00312845:I.3097,"Mannitol (substance)"
NCT00312845:I.3098,"Anaphylactic shock"
NCT00312845:I.3099,"IgE-mediated hypersensitivity disorder"
NCT00312845:I.3100,Murine
NCT00312845:I.3101,"Protein (substance)"
NCT00312845:I.3102,"Polyoxethylenesorbitan oleate"
NCT00312845:I.3103,"sodium citrate dihydrate"
NCT00312845:I.3104,"Combined Modality Therapy"
NCT00312845:I.3105,"Investigational New Drug, Experimental Drug"
NCT00312845:I.3106,pregnant
NCT00312845:I.3107,"Breast feeding, Nursing"
NCT00321464:I.1001,"Age 18 Years and older"
NCT00321464:I.1002,"Adults with histologically or cytologically confirmed breast adenocarcinoma"
NCT00321464:I.1003,"radiographic evidence of at least one bone mets"
NCT00321464:I.1004,"ECOG performance status finding"
NCT00321464:I.1005,"adequate organ function"
NCT00321464:I.2001,"Current or prior IV bisphosphonate administration"
NCT00321464:I.2002,"current or prior oral bisphosphonates for bone mets"
NCT00321464:I.2003,"life expectancy<6 months"
NCT00321620:I.1001,"Age 18 Years and older"
NCT00321620:I.1002,"Men>/= 18 years of age with histologically confirmed prostate cancer"
NCT00321620:I.1003,"Radiographic evidence of at least one bone metastasis"
NCT00321620:I.1004,"Failure of at least one hormonal therapy as evidenced by a rising PSA"
NCT00321620:I.1005,"Serum testosterone level of<50 ng/dL"
NCT00321620:I.1006,"ECOG performance 0,1 or 2"
NCT00321620:I.1007,"Adequate organ function"
NCT00321620:I.2001,"Current or prior IV bisphosphonate administration"
NCT00321620:I.2002,"Current or prior oral bisphosphonates for bone mets"
NCT00321620:I.2003,"life expectancy<6 months"
NCT00322621:I.1001,"Age 18 Years and older"
NCT00322621:I.1002,"Have pain due to bilateral peripheral neuropathy caused by Type I or Type II diabetes with the pain beginning in the feet and present for at least 6 months."
NCT00322621:I.1003,"May not be pregnant and agree to utilize medically acceptable and reliable means of birth control during participation in the study."
NCT00322621:I.1004,"Score of 4 or greater on the Brief Pain Inventory on the 24-hour average pain item."
NCT00322621:I.2001,"History of substance abuse or dependence within the past year, excluding nicotine and caffeine."
NCT00322621:I.2002,"Serious or unstable cardiovascular, hepatic (acute liver injury such as hepatitis or severe cirrhosis),kidney, respiratory, or blood disorder, seizure disorder, problems with peripheral vascular disease, or other medical conditions or psychiatric conditions that would hinder your participation or be likely to lead to hospitalization during the course of the study."
NCT00322621:I.2003,"Taking monoamine oxidase inhibitor (MAOI) within 14 days of starting the study or the potential need to take during or within 5 days after discontinuation from the study."
NCT00322621:I.2004,Fluoxetine
NCT00322621:I.2005,"Unstable blood sugar control and uncontrolled or poorly controlled hypertension."
NCT00326027:I.1001,"Age 18 Years and older"
NCT00326027:I.1002,"Written informed consent"
NCT00326027:I.1003,"Inpatients (hospitalization during the entire study period is mandatory)"
NCT00326027:I.1004,"Symptomatic (heartburn, acid regurgitation or dysphagia for at least 1 day since admission to the hospital) non-erosive reflux disease (NERD) or erosive gastroesophageal reflux disease (GERD, LA Grade A-D)"
NCT00326027:I.2001,"Known Zollinger-Ellison syndrome or other gastric hypersecretory condition"
NCT00326027:I.2002,"Previous acid-lowering surgery or other surgery of the esophagus and/or upper gastrointestinal tract (exception: polypectomy and cholecystectomy)"
NCT00326027:I.2003,"On initial endoscopy, presence of obstructive esophageal strictures, Schatzki's ring, esophageal diverticula, esophageal varices, achalasia or Barrett's esophagus with known high-grade dysplasia or longer than 3 cm"
NCT00326027:I.2004,"Acute peptic ulcer and/or ulcer complications"
NCT00326027:I.2005,"Pyloric stenosis (disorder)"
NCT00326027:I.2006,"Known inflammatory bowel diseases"
NCT00327379:I.1001,"Age 18 Years and older"
NCT00327379:I.1002,"Subjects requiring elective spinal fusion surgery involving 3 to 7 vertebral levels with instrumentation. One vertebral level is defined as encompassing two vertebral bodies and one inter-vertebral disc space, so that a contiguous spinal fusion involving 3 vertebral levels would include 4 vertebral bodies and 3 inter-vertebral disc spaces."
NCT00327379:I.2001,"Subjects with previous exposure to aprotinin in the last 6 months. If the subject has undergone cardiac surgery in the last 6 months, all attempts should be made to ascertain if aprotinin was administered during cardiac surgery. If no records are available, or if the subject received aprotinin, the subject should be excluded."
NCT00327379:I.2002,"Subjects with a known or suspected allergy to aprotinin."
NCT00327379:I.2003,"Subjects with sepsis or a known bone infection."
NCT00327379:I.2004,"Personal history of malignant neoplasm of bone"
NCT00327379:I.2005,"Subjects with a creatinine clearance<30mL/min as calculated by the Cockcroft-Gault formula."
NCT00327379:I.2006,"Subjects with a history of bleeding diathesis or known coagulation factor deficiency."
NCT00327379:I.2007,"Subjects with failure of a major organ system or any active significant medical illness that in the opinion of the Investigator is likely to affect the subject's ability to complete the study or precludes the subject's participation in the study."
NCT00327379:I.2008,"Subjects who refuse to receive allogenic blood products for religious or other reasons."
NCT00327379:I.2009,"Subjects whose preoperative red blood cell volume is so low that a blood transfusion would be likely to be given perioperatively (preoperative hematocrit or hemoglobin values<24% or<8 g/dl, respectively)."
NCT00327379:I.2010,"Subjects who have participated in an investigational drug study within the past 30 days."
NCT00327379:I.2011,"Subjects with a history of deep vein thrombosis or pulmonary embolism."
NCT00327379:I.2012,"Subjects who are pregnant or breast feeding."
NCT00327379:I.2013,"Women of childbearing potential in whom the possibility of pregnancy cannot be excluded by a negative serum pregnancy test at screening."
NCT00327379:I.2014,"Women of childbearing potential who are not using a reliable method of contraception."
NCT00327379:I.2015,"Antifibrinolytic Agents"
NCT00327379:I.2016,"Subjects on chronic anticoagulant treatment with Vit K antagonists that cannot be temporarily discontinued for the surgical procedure (as per local practices)."
NCT00329303:I.1001,"Age up to 18 Years"
NCT00329303:I.1002,"Subject having responded to treatment in study C87040 and having relapsed during the follow-up period."
NCT00329303:I.2001,"Erythrodermic, guttate, palmar or plantar, generalized pustular form of psoriasis"
NCT00329303:I.2002,"A history of chronic infection, recent serious or life-threatening infection (within six months, including herpes zoster), or any current sign or symptom that may indicate an infection (e.g. fever, cough)"
NCT00329303:I.2003,"White Blood Cell Count procedure (WBC)"
NCT00329303:I.2004,"Suspected or diagnosed demyelinating disease of the central nervous system (e.g. multiple sclerosis or optic neuritis)"
NCT00329303:I.2005,"Lupus Erythematosus, Systemic"
NCT00329303:I.2006,"Non respect of adequate wash out periods for treatments that might have an impact on the disease"
NCT00329303:I.2007,"Any associated disease that could be impacted by the study treatment intake"
NCT00329303:I.2008,"Any other condition, which in the Investigator's judgment would make the subject unsuitable for inclusion in the study"
NCT00331890:I.1001,"Patient,>18 years old"
NCT00331890:I.1002,"Patients must be treated within 24 hours of their initial stroke symptoms onset."
NCT00331890:I.1003,"Patients with a measurable focal neurological deficit lasting for a minimum of 60 minutes."
NCT00331890:I.1004,"Patients must have a CT scan and/or conventional MRI compatible with the clinical diagnosis of acute ischemic stroke prior to being randomized."
NCT00331890:I.1005,"Patients must have an acute ischemic stroke referable to the middle cerebral artery territory"
NCT00331890:I.1006,"At inclusion, NIHSS score>7, with at least 2 of these points from sections 5&6 (motor)"
NCT00331890:I.1007,"Immediately (i.e. minutes) pre-stroke, MRS<2"
NCT00331890:I.1008,"Women of childbearing potential must have a negative pregnancy test prior to enrolment"
NCT00331890:I.1009,"Signed informed consent"
NCT00331890:I.2001,"Patients in coma: patients having a score of>=2 in the items regarding the level of consciousness in the NIHSS (1a)"
NCT00331890:I.2002,"CT or conventional MRI evidence of brain tumor, cerebral edema with a clinically significant mass midline shift with compression of the ventricles, brainstem or cerebellar infarction, subarachnoid and/or intracerebral and/or intraventricular hemorrhage"
NCT00331890:I.2003,"History of ventricular dysrhythmias, acute myocardial infarction within 72 hours prior to enrolment, unstable angina, decompensated congestive heart failure or any other acute, severe, uncontrollable or sustained cardiovascular condition that, in the Investigator's opinion, may interfere with effective participation in the study"
NCT00331890:I.2004,"Previous disorders that may confound the interpretation of the neurological scales"
NCT00331890:I.2005,"Drug addiction-related disorders"
NCT00331890:I.2006,"Pre existing dementia, when dementia implies a disability, measured as an score of>=2 in the previous MRS"
NCT00331890:I.2007,"Pre existing medical condition that, in the Investigator's opinion, may interfere with the patient's suitability and participation in the study"
NCT00331890:I.2008,"Patients participating in another clinical trial or receiving a non-approved drug (clinical investigational drug)<30 days prior to screening"
NCT00331890:I.2009,"Patients under current treatment with citicoline"
NCT00332709:I.1001,"Age 18 Years and older"
NCT00332709:I.1002,"Compliant postmenopausal women with primary operable breast cancer after 4 to 6 years of therapy with tamoxifen (end of tamoxifen therapy within last 6 months)"
NCT00332709:I.1003,"ECOG performance status finding"
NCT00332709:I.1004,"Patients without severe osteoporosis at study entry"
NCT00332709:I.1005,"No evidence of relapse at the time of randomization"
NCT00332709:I.1006,"Adequate function of bone marrow, kidney, and liver"
NCT00332709:I.2001,"Estrogen- and progesterone-receptor status negative or unknown"
NCT00332709:I.2002,"Completion of adjuvant tamoxifen therapy more than 6 months prior to study start"
NCT00332709:I.2003,"Inflammatory Breast Carcinoma, Mastitis carcinomatosa"
NCT00332709:I.2004,"Current/active dental problems including infection of the teeth or jawbone, dental or fixture trauma, or a current or prior diagnosis of osteonecrosis of the jaw, of exposed bone in the mouth, or of slow healing after dental procedures"
NCT00332709:I.2005,"Recent (within 6 weeks) or planned dental or jaw surgery"
NCT00332709:I.2006,"History of diseases with influence on bone metabolism such as Paget's disease and primary overactive parathyroid"
NCT00332709:I.2007,"Prior or concomitant therapies: chemotherapy within the last 12 months, intravenous or oral bisphosphonates, systemic corticosteroids, anabolic steroids or growth hormones, Tibolone, parathyroid hormone, systemic sodium fluoride or any drugs known to affect the skeleton (such as calcitonin, mithramycin, or gallium nitrate)"
NCT00332709:I.2008,"Patients with previous or concomitant cancers (not breast cancer) within the past 5 years EXCEPT adequately treated basal or squamous cell skin cancers or in situ cancer of the cervix. Patients with previous other cancer(s) must have been disease-free for at least 5 years."
NCT00332709:I.2009,"Patients currently receiving oral bisphosphonates must discontinue these at least 3 weeks prior to study start."
NCT00332852:I.1001,"Age 18 Years and older, female"
NCT00332852:I.1002,"Compliant postmenopausal women with primary operable breast cancer after complete surgery and suitable for endocrine treatment"
NCT00332852:I.1003,"Nodal status negative or positive"
NCT00332852:I.1004,"Good Health status<=2 (Eastern Cooperative Oncology Group)"
NCT00332852:I.1005,"Estrogen- and/or progesterone-receptor positive"
NCT00332852:I.1006,"Adequate marrow, kidney and liver function"
NCT00332852:I.2001,"Metastatic or inflammatory breast cancer"
NCT00332852:I.2002,"Patients with previous or concomitant cancers (not breast cancer) within the past 5 years EXCEPT adequately treated basal or squamous cell skin cancer or in situ cancer of the cervix. Patients with other previous cancers must have been disease-free for at least 5 years and Patients with uncontrolled, non-malignant systemic cardiovascular, kidney, and liver diseases."
NCT00332852:I.2003,"Current/active dental problems including infection of the teeth or jawbone, dental or fixture trauma, or a current or prior diagnosis of osteonecrosis of the jaw, of exposed bone in the mouth, or of slow healing after dental procedures."
NCT00332852:I.2004,"Recent (within 6 weeks) or planned dental or jaw surgery"
NCT00332852:I.2005,"Patients with primary overactive parathyroid"
NCT00332852:I.2006,"Patients with a known hypersensitivity to zoledronic acid or other bisphosphonates."
NCT00333411:I.1001,"18 Years to 75 Years"
NCT00333411:I.1002,"Patients with stable moderate to severe plaque-type psoriasis involving>10% body surface area, with minimum disease severity PASI>10 and with static PGA of at least moderate (score of at least 3) at screening visit"
NCT00333411:I.1003,"Psoriasis disease duration of at least 6 months prior to screening"
NCT00333411:I.1004,"Patients must be candidates for systemic psoriasis treatment or phototherapy"
NCT00333411:I.1005,"Patient must give informed consent and sign an approved consent form prior to any study procedures, including wash out of prohibited medications (Patients participating in the PK sub-study will sign an additional consent form. Refusal to participate in the sub-study will not exclude from participation in the main trial)"
NCT00333411:I.2001,"Patients with primary guttatae, erythrodermic, or pustular psoriasis"
NCT00333411:I.2002,"Patients who have previously discontinued efalizumab treatment due to lack of efficacy"
NCT00333411:I.2003,"Patients using treatments that could interfere with the primary endpoint of the study (cf. protocol section 4.2.2.1)"
NCT00333411:I.2004,"Patients on treatment with warfarin, paracetamol (acetaminophen), some NSAIDs, some antidepressants, medications known to induce or inhibit CYP3A4, or any other concomitant medication where potential drug-drug interactions with BIRT 2584 XX could either result in decreased efficacy or an unacceptable benefit-risk assessment, and where replacement of that concomitant medication with a safe equivalent drug is not possible (cf. protocol section 4.2.2.2 and the Investigator Site File)."
NCT00333411:I.2005,"Patients with active liver disease or history of any significant liver disease"
NCT00333411:I.2006,"Any clinically significant illness or unstable disease which according to investigator judgement may either put the patient at risk because of participation in the study or may influence the results of the study or the patients ability to participate"
NCT00333411:I.2007,"Patient with serum creatinine and/or white blood cell count>1.5 x ULN at screening (Repeat laboratory is allowed once between screening and randomisation prior to excluding the patient)"
NCT00333411:I.2008,"Patients with ALT, AST and/or total bilirubin>1.5xULN at screening (Repeat laboratory is allowed once between screening and randomisation prior to excluding the patient)"
NCT00333411:I.2009,"Abnormal values of other laboratory parameters at screening that would define a clinically significant disease as described above (Repeat laboratory is allowed once between screening and randomisation prior to excluding the patient)"
NCT00333411:I.2010,"Positive testing at screening, or history of HIV or hepatitis B or hepatitis C, or any serious infection (requiring hospitalisation or parenteral antibiotic therapy) in the past 3 months prior to screening"
NCT00333411:I.2011,"History of malignancy in the past 5 years or suspicion of active malignant disease except treated cutaneous squamous cell or basal cell carcinoma"
NCT00333411:I.2012,"Patients with the following findings at the screening visit that could interfere with cardiac repolarisation:
marked baseline prolongation of QT/QTc interval as measured on ECG (e.g. QTc interval>450ms),
history of additional risk factors for Torsade de pointe (e.g. heart failure, - hypokalemia, family history of long QT syndrome),use of concomitant medications that prolong the QT/QTc interval"
NCT00333411:I.2013,"History of drug or alcohol abuse within the past two years"
NCT00333411:I.2014,"Pre-menopausal (last menstruation 1 year prior to screening) sexually active woman who:
is pregnant or nursing,is of child bearing potential and not practicing acceptable methods of birth control, or does not plan to continue practising an acceptable method throughout the study (acceptable methods of birth control include surgical sterilisation, intrauterine devices, double barrier, male partner sterilisation, but not hormonal contraceptives) [A negative serum pregnancy test at screening (Visit 1) and a negative urine test prior to randomisation (Visit 2) are required]"
NCT00333411:I.2015,"Patient not willing to avoid excess sun exposure during the trial duration"
NCT00333411:I.2016,"Patients who have taken an investigational drug, within the last 4 weeks or 5 half lives (which ever is greater) prior to randomisation [Patients who have been treated with any investigational antibody or fusion protein within the past 12 weeks before randomisation are excluded]"
NCT00333411:I.2017,"Known allergy to BIRT 2584 XX or to the excipients used for tablet formulation"
NCT00333411:I.2018,"Body mass index>34 kg/m2 at screening"
NCT00333411:I.3001,Age
NCT00333411:I.3002,Psoriasis
NCT00333411:I.3003,"Systemic Therapy"
NCT00333411:I.3004,Phototherapy
NCT00333411:I.3005,"Informed Consent"
NCT00333411:I.3006,"Psoriasis guttata"
NCT00333411:I.3007,"exfoliative psoriasis"
NCT00333411:I.3008,"pustular psoriasis"
NCT00333411:I.3009,Medication
NCT00333411:I.3010,"Liver diseases"
NCT00333411:I.3011,Creatinine
NCT00333411:I.3012,"White Blood Cell Count procedure (WBC)"
NCT00333411:I.3013,"GPT (Serum)"
NCT00333411:I.3014,"GOT (Serum)"
NCT00333411:I.3015,Bilirubin
NCT00333411:I.3016,"Human immunodeficiency virus infection"
NCT00333411:I.3017,Hepatitis
NCT00333411:I.3018,"Systemic infection"
NCT00333411:I.3019,"Malignant Neoplasms"
NCT00333411:I.3020,Electrocardiogram
NCT00333411:I.3021,"Drug abuse"
NCT00333411:I.3022,"Alcohol abuse"
NCT00333411:I.3023,pregnant
NCT00333411:I.3024,"Breast feeding, Nursing"
NCT00333411:I.3025,Contraception
NCT00333411:I.3026,"Serum pregnancy test (B-HCG)"
NCT00333411:I.3027,"Sun Exposure"
NCT00333411:I.3028,Enrollment
NCT00333411:I.3029,Hypersensitivity
NCT00333411:I.3030,"Body mass index"
NCT00334295:I.1001,"18 Years and older"
NCT00334295:I.1002,"Female Gender"
NCT00334295:I.1003,"Histologically confirmed, recurrent or metastatic endometrial carcinoma"
NCT00334295:I.1004,Postmenopausal
NCT00334295:I.1005,"Hormonreceptor positive tumor"
NCT00334295:I.2001,"Pre-treatment with Fulvestrant"
NCT00334295:I.2002,"Previous endocrine therapy of the endometrial carcinoma"
NCT00334295:I.2003,"Previous malignancy less than 3 years ago other than in situ carcinoma of the cervix, basal cell carcinoma or squamous carcinoma of the skin"
NCT00343161:I.1001,"18 Years to 55 Years"
NCT00343161:I.1003,"Signed informed consent"
NCT00343161:I.1004,"Patients who seek medical advice in primary care for symptoms thought to be GERD-related"
NCT00343161:I.2001,"Clinical GERD diagnosis/treatment within last 3 month"
